from,to,p,qValue
IGHM,IGHG2,0.09441914082994807,0.5664748460541956
IGHG3,IGHG2,0.11711851066307377,0.5664748460541956
IGHG1,IGHA1,0.16556778724048307,0.5664748460541956
IGHM,IGHG3,0.2061361114876966,0.5664748460541956
IGHG2,IGHA1,0.24180976238640317,0.5664748460541956
IGHG3,IGHG1,0.24277493402322672,0.5664748460541956
IGHM,IGHA2,0.38366233301407915,0.6900834920907682
IGHG1,IGHG2,0.39433342405186755,0.6900834920907682
IGHM,IGHG1,0.5001376695120509,0.7196281256802799
IGHG3,IGHA1,0.5140200897716285,0.7196281256802799
IGHM,IGHA1,0.584981055806953,0.7445213437543039
IGHG2,IGHA2,0.6852225408167024,0.7994262976194862
IGHG1,IGHA2,0.9596248051360461,0.9843344961211768
IGHG3,IGHA2,0.9843344961211768,0.9843344961211768
